Molecule Name,Structure,CDD Number,Similarity Score (%),SMILES,ProteaseAssay_Fluorescence_Dose-Response_Weizmann: IC50 (µM),ProteaseAssay_Fluorescence_Dose-Response_Weizmann: Avg IC50 (uM),ProteaseAssay_Fluorescence_Dose-Response_Weizmann: Avg IC50 (uM) Standard Deviation (±),ProteaseAssay_Fluorescence_Dose-Response_Weizmann: Avg IC50 (uM) Count,ProteaseAssay_Fluorescence_Dose-Response_Weizmann: Avg pIC50,ProteaseAssay_Fluorescence_Dose-Response_Weizmann: LE avg IC50,ProteaseAssay_Fluorescence_Dose-Response_Weizmann: LLE,ProteaseAssay_Fluorescence_Dose-Response_Weizmann: Dose-response Plot
CVD-0003629, ,CDD-2563658,96,Cc1c(N)cncc1NC(=O)Cc1cccc(Cl)c1,4.22,4.22,,1,5.4,0.396,3.26, 
CVD-0004567, ,CDD-2563801,88,Clc1cccc(CC(=O)Nc2cnccc2C2CC2)c1,7.17,7.17,,1,5.1,0.36,1.93, 
CVD-0007756, ,CDD-2563669,78,Clc1cccc(CC(=O)Nc2cncc3ccccc23)c1,0.732,0.728,0.00607,3,6.1,0.409,2.72, 
CVD-0007756, ,CDD-2563669,78,Clc1cccc(CC(=O)Nc2cncc3ccccc23)c1,0.732,0.728,0.00607,3,6.1,0.409,2.72, 
CVD-0007756, ,CDD-2563669,78,Clc1cccc(CC(=O)Nc2cncc3ccccc23)c1,0.721,0.728,0.00607,3,6.1,0.409,2.72, 
CVD-0012808, ,CDD-2563826,78,Clc1cccc(CC(=O)Nc2cncc3cnccc23)c1,7.94,7.94,,1,5.1,0.34,2.9, 
CVD-0015217, ,CDD-2563711,78,Clc1cc(Cl)cc(CC(=O)Nc2cncc3ccccc23)c1,1.37,1.37,,1,5.9,0.373,1.84, 
CVD-0018475, ,,78,Cc1ccc2c(NC(=O)Cc3cccc(Cl)c3)cncc2c1,1.24,1.24,,1,5.9,0.376,1.97, 
CVD-0016575, ,CDD-2563865,77,Cc1ccc2cncc(NC(=O)Cc3cccc(Cl)c3)c2c1,0.537,0.537,,1,6.3,0.399,2.34, 
CVD-0019151, ,,77,CC(=O)Nc1ccc2c(NC(=O)Cc3cccc(Cl)c3)cncc2c1,0.392,0.392,,1,6.4,0.359,3.75, 
CVD-0014468, ,CDD-2563697,77,Clc1ccc(CC(=O)Nc2cncc3ccccc23)cc1Cl,0.384,0.281,0.146,2,6.6,0.417,2.53, 
CVD-0014468, ,CDD-2563697,77,Clc1ccc(CC(=O)Nc2cncc3ccccc23)cc1Cl,0.178,0.281,0.146,2,6.6,0.417,2.53, 
CVD-0015336, ,,77,Clc1ccc(CC(=O)Nc2cncc3cnccc23)cc1Cl,1.85,1.85,,1,5.7,0.365,2.93, 
CVD-0015032, ,,76,Cc1ccc(CC(=O)Nc2cncc3ccccc23)cc1Cl,1.09,1.09,,1,6,0.379,2.03, 
CVD-0016352, ,,76,CCc1cc(Cl)cc(CC(=O)Nc2cncc3ccccc23)c1,1.8,1.8,,1,5.7,0.35,1.37, 
CVD-0013968, ,CDD-2386256,76,Cc1cccc2cncc(NC(=O)Cc3cccc(Cl)c3)c12,0.331,0.331,,1,6.5,0.412,2.55, 
CVD-0019169, ,,76,CC(=O)Nc1ccc2cncc(NC(=O)Cc3cccc(Cl)c3)c2c1,0.398,0.398,,1,6.4,0.358,3.74, 
CVD-0019154, ,,75,CN(C)c1ccc2c(NC(=O)Cc3cccc(Cl)c3)cncc2c1,6.78,6.78,,1,5.2,0.302,1.64, 
CVD-0013967, ,CDD-2386255,74,Clc1cccc(CC(=O)Nc2cncc3cccc(Cl)c23)c1,0.594,0.594,,1,6.2,0.396,2.2, 
CVD-0012809, ,CDD-2563827,74,Clc1cccc(CC(=O)Nc2cncc3cccnc23)c1,7.02,7.02,,1,5.2,0.344,2.56, 
CVD-0012963, ,CDD-2563831,74,Clc1cccc(CC(=O)Nc2cncc3ccncc23)c1,4.27,4.27,,1,5.4,0.358,3.17, 
CVD-0015218, ,CDD-2563879,74,CC(C(=O)Nc1cncc2ccccc12)c1ccc(Cl)c(Cl)c1,0.759,0.759,,1,6.1,0.372,1.55, 
CVD-0018193, ,,74,CN(C)c1ccc2cncc(NC(=O)Cc3cccc(Cl)c3)c2c1,0.729,0.729,,1,6.1,0.358,2.61, 
CVD-0013519, ,CDD-2563849,73,Clc1cccc(CC(=O)Nc2cncc3CCCc23)c1,5.16,5.16,,1,5.3,0.37,1.85, 
CVD-0016562, ,CDD-2563859,73,Fc1ccc2c(NC(=O)Cc3cccc(Cl)c3)cncc2c1,1.47,1.47,,1,5.8,0.371,2.27, 
CVD-0013422, ,CDD-2385823,73,Clc1ccc(Cl)c(CC(=O)Nc2cncc3ccccc23)c1,1.02,1.02,,1,6,0.381,1.97, 
