Molecule Name,Structure,CDD Number,Similarity Score (%),ProteaseAssay_Fluorescence_Dose-Response_Weizmann: IC50 (µM),ProteaseAssay_Fluorescence_Dose-Response_Weizmann: Avg IC50 (uM),ProteaseAssay_Fluorescence_Dose-Response_Weizmann: Avg IC50 (uM) Standard Deviation (±),ProteaseAssay_Fluorescence_Dose-Response_Weizmann: Avg IC50 (uM) Count,ProteaseAssay_Fluorescence_Dose-Response_Weizmann: Avg pIC50,ProteaseAssay_Fluorescence_Dose-Response_Weizmann: LE avg IC50,ProteaseAssay_Fluorescence_Dose-Response_Weizmann: LLE,ProteaseAssay_Fluorescence_Dose-Response_Weizmann: Dose-response Plot
CVD-0007756, ,CDD-2563669,78,0.721,0.728,0.00607,3,6.1,0.409,2.72, 
CVD-0012808, ,CDD-2563826,78,7.94,7.94,,1,5.1,0.34,2.9, 
CVD-0015217, ,CDD-2563711,78,1.37,1.37,,1,5.9,0.373,1.84, 
CVD-0018475, ,,78,1.24,1.24,,1,5.9,0.376,1.97, 
CVD-0014468, ,CDD-2563697,77,0.384,0.281,0.146,2,6.6,0.417,2.53, 
CVD-0015336, ,,77,1.85,1.85,,1,5.7,0.365,2.93, 
CVD-0015032, ,,76,1.09,1.09,,1,6,0.379,2.03, 
CVD-0016352, ,,76,1.8,1.8,,1,5.7,0.35,1.37, 
CVD-0013967, ,CDD-2386255,74,0.594,0.594,,1,6.2,0.396,2.2, 
CVD-0012809, ,CDD-2563827,74,7.02,7.02,,1,5.2,0.344,2.56, 
CVD-0015218, ,CDD-2563879,74,0.759,0.759,,1,6.1,0.372,1.55, 
CVD-0016562, ,CDD-2563859,73,1.47,1.47,,1,5.8,0.371,2.27, 
CVD-0013422, ,CDD-2385823,73,1.02,1.02,,1,6,0.381,1.97, 
CVD-0015030, ,CDD-2563706,72,0.353,0.375,0.0302,2,6.4,0.409,2.86, 
CVD-0015041, ,CDD-2563709,72,0.43,0.431,0.000839,2,6.4,0.387,3.09, 
CVD-0015038, ,CDD-2563707,71,0.368,0.383,0.0218,2,6.4,0.408,2.85, 
